2026-04-03 17:19:20 WARNING  Config file config.ini not found, using defaults
2026-04-03 17:20:00 INFO     Loaded configuration from config.ini
2026-04-03 17:21:43 INFO     Loaded configuration from config.ini
2026-04-03 17:22:36 INFO     Loaded configuration from config.ini
2026-04-09 16:09:33 INFO     [weather.main] ============================================================
2026-04-09 16:09:33 INFO     [weather.main]   Weather Network MQTT Subscriber v1.0
2026-04-09 16:09:33 INFO     [weather.main] ============================================================
2026-04-09 16:09:33 INFO     [weather.config] Configuration chargée depuis C:\Users\ougai\Desktop\LoRaWan\lorawan-weather-network\datacenter\config.ini
2026-04-09 16:09:33 INFO     [weather.mqtt] Client MQTT configuré [LOG-ONLY] — broker=mqtt.univ-cotedazur.fr:443 topic=ttn/v3/fablab2223@ttn/devices/weather-station-davis parsers=[TTN Uplink, Flat JSON]
2026-04-09 16:09:33 INFO     [weather.main] Connexion au broker MQTT mqtt.univ-cotedazur.fr:443…
2026-04-09 16:09:33 INFO     [weather.mqtt] Démarrage de la boucle MQTT…
2026-04-09 16:09:33 WARNING  [weather.mqtt] Déconnexion MQTT inattendue (rc=2), reconnexion auto…
2026-04-09 16:09:35 WARNING  [weather.mqtt] Déconnexion MQTT inattendue (rc=2), reconnexion auto…
2026-04-09 16:09:37 WARNING  [weather.mqtt] Déconnexion MQTT inattendue (rc=2), reconnexion auto…
2026-04-09 16:09:41 WARNING  [weather.mqtt] Déconnexion MQTT inattendue (rc=2), reconnexion auto…
2026-04-09 16:09:50 WARNING  [weather.mqtt] Déconnexion MQTT inattendue (rc=2), reconnexion auto…
2026-04-09 16:10:06 WARNING  [weather.mqtt] Déconnexion MQTT inattendue (rc=2), reconnexion auto…
2026-04-09 16:10:38 WARNING  [weather.mqtt] Déconnexion MQTT inattendue (rc=2), reconnexion auto…
2026-04-09 16:10:58 INFO     [weather.main] Signal 2 reçu, arrêt en cours…
2026-04-09 16:10:58 INFO     [weather.mqtt] Client MQTT déconnecté.
2026-04-09 16:11:01 INFO     [weather.main] ============================================================
2026-04-09 16:11:01 INFO     [weather.main]   Weather Network MQTT Subscriber v1.0
2026-04-09 16:11:01 INFO     [weather.main] ============================================================
2026-04-09 16:11:01 INFO     [weather.config] Configuration chargée depuis C:\Users\ougai\Desktop\LoRaWan\lorawan-weather-network\datacenter\config.ini
2026-04-09 16:11:01 INFO     [weather.mqtt] Client MQTT configuré [LOG-ONLY] — broker=mqtt.univ-cotedazur.fr:443 topic=ttn/v3/fablab2223@ttn/devices/weather-station-davis parsers=[TTN Uplink, Flat JSON]
2026-04-09 16:11:01 INFO     [weather.main] Connexion au broker MQTT mqtt.univ-cotedazur.fr:443…
2026-04-09 16:11:01 INFO     [weather.mqtt] Démarrage de la boucle MQTT…
2026-04-09 16:11:02 WARNING  [weather.mqtt] Déconnexion MQTT inattendue (rc=2), reconnexion auto…
2026-04-09 16:11:03 WARNING  [weather.mqtt] Déconnexion MQTT inattendue (rc=2), reconnexion auto…
2026-04-09 16:11:05 WARNING  [weather.mqtt] Déconnexion MQTT inattendue (rc=2), reconnexion auto…
2026-04-09 16:11:09 WARNING  [weather.mqtt] Déconnexion MQTT inattendue (rc=2), reconnexion auto…
2026-04-09 16:11:15 INFO     [weather.main] Signal 2 reçu, arrêt en cours…
2026-04-09 16:11:15 INFO     [weather.mqtt] Client MQTT déconnecté.
2026-04-09 16:11:39 INFO     [weather.main] ============================================================
2026-04-09 16:11:39 INFO     [weather.main]   Weather Network MQTT Subscriber v1.0
2026-04-09 16:11:39 INFO     [weather.main] ============================================================
2026-04-09 16:11:39 INFO     [weather.config] Configuration chargée depuis C:\Users\ougai\Desktop\LoRaWan\lorawan-weather-network\datacenter\config.ini
2026-04-09 16:11:39 INFO     [weather.mqtt] Client MQTT configuré [LOG-ONLY] — broker=ws://mqtt.univ-cotedazur.fr:443 topic=ttn/v3/fablab2223@ttn/devices/weather-station-davis parsers=[TTN Uplink, Flat JSON]
2026-04-09 16:11:39 INFO     [weather.main] Connexion au broker MQTT ws://mqtt.univ-cotedazur.fr:443…
2026-04-09 16:11:48 INFO     [weather.main] ============================================================
2026-04-09 16:11:48 INFO     [weather.main]   Weather Network MQTT Subscriber v1.0
2026-04-09 16:11:48 INFO     [weather.main] ============================================================
2026-04-09 16:11:48 INFO     [weather.config] Configuration chargée depuis C:\Users\ougai\Desktop\LoRaWan\lorawan-weather-network\datacenter\config.ini
2026-04-09 16:11:48 INFO     [weather.mqtt] Client MQTT configuré [LOG-ONLY] — broker=wss://mqtt.univ-cotedazur.fr:443 topic=ttn/v3/fablab2223@ttn/devices/weather-station-davis parsers=[TTN Uplink, Flat JSON]
2026-04-09 16:11:48 INFO     [weather.main] Connexion au broker MQTT wss://mqtt.univ-cotedazur.fr:443…
2026-04-09 16:12:12 INFO     [weather.main] ============================================================
2026-04-09 16:12:12 INFO     [weather.main]   Weather Network MQTT Subscriber v1.0
2026-04-09 16:12:12 INFO     [weather.main] ============================================================
2026-04-09 16:12:12 INFO     [weather.config] Configuration chargée depuis C:\Users\ougai\Desktop\LoRaWan\lorawan-weather-network\datacenter\config.ini
2026-04-09 16:12:12 INFO     [weather.mqtt] Client MQTT configuré [LOG-ONLY] — broker=mqtt.univ-cotedazur.fr:443 topic=ttn/v3/fablab2223@ttn/devices/weather-station-davis parsers=[TTN Uplink, Flat JSON]
2026-04-09 16:12:12 INFO     [weather.main] Connexion au broker MQTT mqtt.univ-cotedazur.fr:443…
2026-04-09 16:12:12 INFO     [weather.mqtt] Démarrage de la boucle MQTT…
2026-04-09 16:12:12 WARNING  [weather.mqtt] Déconnexion MQTT inattendue (rc=2), reconnexion auto…
2026-04-09 16:12:14 WARNING  [weather.mqtt] Déconnexion MQTT inattendue (rc=2), reconnexion auto…
2026-04-09 16:12:16 WARNING  [weather.mqtt] Déconnexion MQTT inattendue (rc=2), reconnexion auto…
2026-04-09 16:12:20 WARNING  [weather.mqtt] Déconnexion MQTT inattendue (rc=2), reconnexion auto…
2026-04-09 16:12:28 WARNING  [weather.mqtt] Déconnexion MQTT inattendue (rc=2), reconnexion auto…
2026-04-09 16:12:38 INFO     [weather.main] Signal 2 reçu, arrêt en cours…
2026-04-09 16:12:38 INFO     [weather.mqtt] Client MQTT déconnecté.
